periode_data,jenis_kendaraan,nama_perusahaan,jumlah_unit
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Hiba Utama,18
2017,Angkutan Kota Antar Provinsi (AKAP),Tunggal Dara Indonesia,18
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Primajasa Perdanarayaputra,15
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Malino Putra Kencana,13
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Gajah Mulia Sejahtera,9
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Andhora Nusantara Persada,6
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Anggrek Cempaka,6
2017,Angkutan Kota Antar Provinsi (AKAP),Dewi Sri Pangestu,5
2017,Angkutan Kota Antar Provinsi (AKAP),PT. Gajah Mungkur Sejahtera,5
2017,Angkutan Kota Antar Provinsi (AKAP),Sinar Jaya Langgeng Utama,3
2017,Taksi Reguler,PT. Presiden Taksi,353
2017,Taksi Reguler,PT. Buana Metropolitan,2
2017,Taksi Reguler,PT. Primajasa Perdanaraya,400
2017,Taksi Reguler,PT. Blue Bird,1595
2017,Taksi Reguler,PT. Cendrawasih Pertiwi Jaya,2450
2017,Taksi Reguler,PT. Morante Jaya,2000
2017,Taksi Reguler,PT. Gamya,689
2017,Taksi Reguler,PT. Lintas Buana Taksi,1100
2017,Taksi Reguler,PT. Luhur Satria Sejatikencana,1500
2017,Taksi Reguler,PT. Dharma Indah Agung. M (Dian Taksi),355
2017,Taksi Reguler,PT. Sriyani Asti,320
2017,Taksi Reguler,PT. Ratax Armada,75
2017,Taksi Reguler,PT. Sri Medali,44
2017,Taksi Reguler,PT. Express Transindo Utama,2500
2017,Taksi Reguler,PT. Royal City,16
2017,Taksi Reguler,PT. Irdawan Multi Trans,200
2017,Taksi Reguler,PT. Citra Transpor Nusantara,923
2017,Taksi Reguler,Kop. Taksi Indonesia,357
2017,Taksi Reguler,Kosti Jaya,189
2017,Taksi Reguler,Kop. Taksi Sepakat,113
2017,Taksi Reguler,Transkoveri DKI,7
2017,Taksi Reguler,PT. Central Naga Europindo,3350
2017,Taksi Reguler,PT. Prima Sarijati Agung,850
2017,Taksi Reguler,PT. Semesta Indo Prima,1100
2017,Taksi Reguler,Koptajasa,123
2017,Taksi Reguler,PT. Tulus Sinar Selatan,160
2017,Taksi Reguler,PT. Bersatu Aman Sejahtera,458
2017,Taksi Reguler,PT. Panorama Transportasi,300
2017,Taksi Reguler,PT. Pusaka Satria Utama,200
2017,Taksi Reguler,PT. Blue Bird Pusaka,500
2017,Taksi Reguler,PT. Berkat Oto Sejahtera,50
2017,Taksi Reguler,PUSKOPAU Taxi Bandara,100
2017,Taksi Eksekutif,PT. Silver Bird,1295
2017,Taksi Eksekutif,PT. Panorama Transportasi Tbk,400
